Year,Country_Code,Country_Name,Sex,Value,Permit_Type,Dataset_Code,Dataset
2019,BGR,Bulgaria,Total,2433,,D4,Immigrants - citizenship
2020,BGR,Bulgaria,Male,718,,D4,Immigrants - citizenship
2020,BGR,Bulgaria,Female,1169,,D4,Immigrants - citizenship
2020,BGR,Bulgaria,Total,1887,,D4,Immigrants - citizenship
2021,BGR,Bulgaria,Male,916,,D4,Immigrants - citizenship
2021,BGR,Bulgaria,Female,1266,,D4,Immigrants - citizenship
2021,BGR,Bulgaria,Total,2182,,D4,Immigrants - citizenship
2022,BGR,Bulgaria,Male,913,,D4,Immigrants - citizenship
2022,BGR,Bulgaria,Female,1124,,D4,Immigrants - citizenship
2022,BGR,Bulgaria,Total,2037,,D4,Immigrants - citizenship
2023,BGR,Bulgaria,Male,746,,D4,Immigrants - citizenship
2023,BGR,Bulgaria,Female,982,,D4,Immigrants - citizenship
2023,BGR,Bulgaria,Total,1728,,D4,Immigrants - citizenship
2019,BFA,Burkina Faso,Male,394,,D4,Immigrants - citizenship
2019,BFA,Burkina Faso,Female,202,,D4,Immigrants - citizenship
2019,BFA,Burkina Faso,Total,596,,D4,Immigrants - citizenship
2020,BFA,Burkina Faso,Male,390,,D4,Immigrants - citizenship
2020,BFA,Burkina Faso,Female,122,,D4,Immigrants - citizenship
2020,BFA,Burkina Faso,Total,512,,D4,Immigrants - citizenship
2021,BFA,Burkina Faso,Male,504,,D4,Immigrants - citizenship
2021,BFA,Burkina Faso,Female,284,,D4,Immigrants - citizenship
2021,BFA,Burkina Faso,Total,788,,D4,Immigrants - citizenship
2022,BFA,Burkina Faso,Male,671,,D4,Immigrants - citizenship
2022,BFA,Burkina Faso,Female,254,,D4,Immigrants - citizenship
2022,BFA,Burkina Faso,Total,925,,D4,Immigrants - citizenship
2023,BFA,Burkina Faso,Male,3020,,D4,Immigrants - citizenship
2023,BFA,Burkina Faso,Female,363,,D4,Immigrants - citizenship
2023,BFA,Burkina Faso,Total,3383,,D4,Immigrants - citizenship
2019,BFA,Burkina Faso,Male,6021,Long-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Male,3761,Short-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Male,9782,Total,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Female,3681,Long-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Female,1202,Short-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Female,4883,Total,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Total,9702,Long-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Total,4963,Short-term,D5,Type of residence permit and citizenship
2019,BFA,Burkina Faso,Total,14665,Total,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Male,5670,Long-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Male,3249,Short-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Male,8919,Total,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Female,3445,Long-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Female,1228,Short-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Female,4673,Total,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Total,9115,Long-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Total,4477,Short-term,D5,Type of residence permit and citizenship
2020,BFA,Burkina Faso,Total,13592,Total,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Male,5374,Long-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Male,2681,Short-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Male,8055,Total,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Female,3042,Long-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Female,1247,Short-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Female,4289,Total,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Total,8416,Long-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Total,3928,Short-term,D5,Type of residence permit and citizenship
2021,BFA,Burkina Faso,Total,12344,Total,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Male,5647,Long-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Male,3077,Short-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Male,8724,Total,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Female,3285,Long-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Female,1169,Short-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Female,4454,Total,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Total,8932,Long-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Total,4246,Short-term,D5,Type of residence permit and citizenship
2022,BFA,Burkina Faso,Total,13178,Total,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Male,5637,Long-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Male,3266,Short-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Male,8903,Total,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Female,2980,Long-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Female,1249,Short-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Female,4229,Total,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Total,8617,Long-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Total,4515,Short-term,D5,Type of residence permit and citizenship
2023,BFA,Burkina Faso,Total,13132,Total,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Male,5576,Long-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Male,7156,Short-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Male,12732,Total,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Female,2701,Long-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Female,1285,Short-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Female,3986,Total,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Total,8277,Long-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Total,8441,Short-term,D5,Type of residence permit and citizenship
2024,BFA,Burkina Faso,Total,16718,Total,D5,Type of residence permit and citizenship
2019,BDI,Burundi,Male,26,,D4,Immigrants - citizenship
2019,BDI,Burundi,Female,60,,D4,Immigrants - citizenship
2019,BDI,Burundi,Total,86,,D4,Immigrants - citizenship
2020,BDI,Burundi,Male,17,,D4,Immigrants - citizenship
2020,BDI,Burundi,Female,24,,D4,Immigrants - citizenship
2020,BDI,Burundi,Total,41,,D4,Immigrants - citizenship
2021,BDI,Burundi,Male,25,,D4,Immigrants - citizenship
2021,BDI,Burundi,Female,35,,D4,Immigrants - citizenship
2021,BDI,Burundi,Total,60,,D4,Immigrants - citizenship
2022,BDI,Burundi,Male,37,,D4,Immigrants - citizenship
2022,BDI,Burundi,Female,37,,D4,Immigrants - citizenship
2022,BDI,Burundi,Total,74,,D4,Immigrants - citizenship
2023,BDI,Burundi,Male,25,,D4,Immigrants - citizenship
2023,BDI,Burundi,Female,55,,D4,Immigrants - citizenship
2023,BDI,Burundi,Total,80,,D4,Immigrants - citizenship
2019,CPV,Cabo Verde,Male,64,,D4,Immigrants - citizenship
2019,CPV,Cabo Verde,Female,44,,D4,Immigrants - citizenship
2019,CPV,Cabo Verde,Total,108,,D4,Immigrants - citizenship
2020,CPV,Cabo Verde,Male,26,,D4,Immigrants - citizenship
2020,CPV,Cabo Verde,Female,29,,D4,Immigrants - citizenship
2020,CPV,Cabo Verde,Total,55,,D4,Immigrants - citizenship
2021,CPV,Cabo Verde,Male,36,,D4,Immigrants - citizenship
2021,CPV,Cabo Verde,Female,36,,D4,Immigrants - citizenship
2021,CPV,Cabo Verde,Total,72,,D4,Immigrants - citizenship
2022,CPV,Cabo Verde,Male,43,,D4,Immigrants - citizenship
2022,CPV,Cabo Verde,Female,50,,D4,Immigrants - citizenship
2022,CPV,Cabo Verde,Total,93,,D4,Immigrants - citizenship
2023,CPV,Cabo Verde,Male,35,,D4,Immigrants - citizenship
2023,CPV,Cabo Verde,Female,43,,D4,Immigrants - citizenship
2023,CPV,Cabo Verde,Total,78,,D4,Immigrants - citizenship
2019,KHM,Cambodia,Male,4,,D4,Immigrants - citizenship
2019,KHM,Cambodia,Female,15,,D4,Immigrants - citizenship
2019,KHM,Cambodia,Total,19,,D4,Immigrants - citizenship
2020,KHM,Cambodia,Male,3,,D4,Immigrants - citizenship
2020,KHM,Cambodia,Female,9,,D4,Immigrants - citizenship
2020,KHM,Cambodia,Total,12,,D4,Immigrants - citizenship
2021,KHM,Cambodia,Male,2,,D4,Immigrants - citizenship
2021,KHM,Cambodia,Female,13,,D4,Immigrants - citizenship
2021,KHM,Cambodia,Total,15,,D4,Immigrants - citizenship
2022,KHM,Cambodia,Male,5,,D4,Immigrants - citizenship
2022,KHM,Cambodia,Female,10,,D4,Immigrants - citizenship
2022,KHM,Cambodia,Total,15,,D4,Immigrants - citizenship
2023,KHM,Cambodia,Male,3,,D4,Immigrants - citizenship
2023,KHM,Cambodia,Female,8,,D4,Immigrants - citizenship
2023,KHM,Cambodia,Total,11,,D4,Immigrants - citizenship
2019,CMR,Cameroon,Male,532,,D4,Immigrants - citizenship
2019,CMR,Cameroon,Female,459,,D4,Immigrants - citizenship
2019,CMR,Cameroon,Total,991,,D4,Immigrants - citizenship
2020,CMR,Cameroon,Male,386,,D4,Immigrants - citizenship
2020,CMR,Cameroon,Female,299,,D4,Immigrants - citizenship
2020,CMR,Cameroon,Total,685,,D4,Immigrants - citizenship
2021,CMR,Cameroon,Male,456,,D4,Immigrants - citizenship
2021,CMR,Cameroon,Female,362,,D4,Immigrants - citizenship
2021,CMR,Cameroon,Total,818,,D4,Immigrants - citizenship
2022,CMR,Cameroon,Male,553,,D4,Immigrants - citizenship
2022,CMR,Cameroon,Female,488,,D4,Immigrants - citizenship
2022,CMR,Cameroon,Total,1041,,D4,Immigrants - citizenship
2023,CMR,Cameroon,Male,1339,,D4,Immigrants - citizenship
2023,CMR,Cameroon,Female,813,,D4,Immigrants - citizenship
2023,CMR,Cameroon,Total,2152,,D4,Immigrants - citizenship
2019,CMR,Cameroon,Male,4118,Long-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Male,4127,Short-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Male,8245,Total,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Female,3773,Long-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Female,3374,Short-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Female,7147,Total,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Total,7891,Long-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Total,7501,Short-term,D5,Type of residence permit and citizenship
2019,CMR,Cameroon,Total,15392,Total,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Male,3979,Long-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Male,3881,Short-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Male,7860,Total,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Female,3690,Long-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Female,3210,Short-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Female,6900,Total,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Total,7669,Long-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Total,7091,Short-term,D5,Type of residence permit and citizenship
2020,CMR,Cameroon,Total,14760,Total,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Male,3855,Long-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Male,3342,Short-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Male,7197,Total,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Female,3546,Long-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Female,2761,Short-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Female,6307,Total,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Total,7401,Long-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Total,6103,Short-term,D5,Type of residence permit and citizenship
2021,CMR,Cameroon,Total,13504,Total,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Male,4035,Long-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Male,3594,Short-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Male,7629,Total,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Female,3815,Long-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Female,2703,Short-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Female,6518,Total,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Total,7850,Long-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Total,6297,Short-term,D5,Type of residence permit and citizenship
2022,CMR,Cameroon,Total,14147,Total,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Male,3920,Long-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Male,3721,Short-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Male,7641,Total,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Female,3650,Long-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Female,2855,Short-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Female,6505,Total,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Total,7570,Long-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Total,6576,Short-term,D5,Type of residence permit and citizenship
2023,CMR,Cameroon,Total,14146,Total,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Male,3775,Long-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Male,4325,Short-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Male,8100,Total,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Female,3402,Long-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Female,3022,Short-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Female,6424,Total,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Total,7177,Long-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Total,7347,Short-term,D5,Type of residence permit and citizenship
2024,CMR,Cameroon,Total,14524,Total,D5,Type of residence permit and citizenship
2019,CAN,Canada,Male,110,,D4,Immigrants - citizenship
2019,CAN,Canada,Female,128,,D4,Immigrants - citizenship
2019,CAN,Canada,Total,238,,D4,Immigrants - citizenship
2020,CAN,Canada,Male,75,,D4,Immigrants - citizenship
2020,CAN,Canada,Female,84,,D4,Immigrants - citizenship
2020,CAN,Canada,Total,159,,D4,Immigrants - citizenship
2021,CAN,Canada,Male,124,,D4,Immigrants - citizenship
2021,CAN,Canada,Female,161,,D4,Immigrants - citizenship
2021,CAN,Canada,Total,285,,D4,Immigrants - citizenship
2022,CAN,Canada,Male,188,,D4,Immigrants - citizenship
2022,CAN,Canada,Female,198,,D4,Immigrants - citizenship
2022,CAN,Canada,Total,386,,D4,Immigrants - citizenship
2023,CAN,Canada,Male,217,,D4,Immigrants - citizenship
2023,CAN,Canada,Female,191,,D4,Immigrants - citizenship
2023,CAN,Canada,Total,408,,D4,Immigrants - citizenship
2019,CAF,Central African Republic,Male,11,,D4,Immigrants - citizenship
2019,CAF,Central African Republic,Female,3,,D4,Immigrants - citizenship
2019,CAF,Central African Republic,Total,14,,D4,Immigrants - citizenship
2020,CAF,Central African Republic,Male,4,,D4,Immigrants - citizenship
2020,CAF,Central African Republic,Female,3,,D4,Immigrants - citizenship
2020,CAF,Central African Republic,Total,7,,D4,Immigrants - citizenship
2021,CAF,Central African Republic,Male,10,,D4,Immigrants - citizenship
2021,CAF,Central African Republic,Female,4,,D4,Immigrants - citizenship
2021,CAF,Central African Republic,Total,14,,D4,Immigrants - citizenship
2022,CAF,Central African Republic,Male,16,,D4,Immigrants - citizenship
2022,CAF,Central African Republic,Female,10,,D4,Immigrants - citizenship
2022,CAF,Central African Republic,Total,26,,D4,Immigrants - citizenship
2023,CAF,Central African Republic,Male,12,,D4,Immigrants - citizenship
2023,CAF,Central African Republic,Female,3,,D4,Immigrants - citizenship
2023,CAF,Central African Republic,Total,15,,D4,Immigrants - citizenship
2019,TCD,Chad,Male,16,,D4,Immigrants - citizenship
2019,TCD,Chad,Female,3,,D4,Immigrants - citizenship
2019,TCD,Chad,Total,19,,D4,Immigrants - citizenship
2020,TCD,Chad,Male,23,,D4,Immigrants - citizenship
2020,TCD,Chad,Female,4,,D4,Immigrants - citizenship
2020,TCD,Chad,Total,27,,D4,Immigrants - citizenship
2021,TCD,Chad,Male,42,,D4,Immigrants - citizenship
2021,TCD,Chad,Female,8,,D4,Immigrants - citizenship
2021,TCD,Chad,Total,50,,D4,Immigrants - citizenship
2022,TCD,Chad,Male,36,,D4,Immigrants - citizenship
2022,TCD,Chad,Female,10,,D4,Immigrants - citizenship
2022,TCD,Chad,Total,46,,D4,Immigrants - citizenship
2023,TCD,Chad,Male,30,,D4,Immigrants - citizenship
2023,TCD,Chad,Female,12,,D4,Immigrants - citizenship
2023,TCD,Chad,Total,42,,D4,Immigrants - citizenship
2019,CHL,Chile,Male,102,,D4,Immigrants - citizenship
2019,CHL,Chile,Female,109,,D4,Immigrants - citizenship
2019,CHL,Chile,Total,211,,D4,Immigrants - citizenship
2020,CHL,Chile,Male,112,,D4,Immigrants - citizenship
2020,CHL,Chile,Female,106,,D4,Immigrants - citizenship
2020,CHL,Chile,Total,218,,D4,Immigrants - citizenship
2021,CHL,Chile,Male,128,,D4,Immigrants - citizenship
2021,CHL,Chile,Female,124,,D4,Immigrants - citizenship
2021,CHL,Chile,Total,252,,D4,Immigrants - citizenship
2022,CHL,Chile,Male,178,,D4,Immigrants - citizenship
2022,CHL,Chile,Female,186,,D4,Immigrants - citizenship
2022,CHL,Chile,Total,364,,D4,Immigrants - citizenship
2023,CHL,Chile,Male,191,,D4,Immigrants - citizenship
2023,CHL,Chile,Female,229,,D4,Immigrants - citizenship
2023,CHL,Chile,Total,420,,D4,Immigrants - citizenship
2019,CHN,China (People’s Republic of),Male,5119,,D4,Immigrants - citizenship
2019,CHN,China (People’s Republic of),Female,5669,,D4,Immigrants - citizenship
2019,CHN,China (People’s Republic of),Total,10788,,D4,Immigrants - citizenship
2020,CHN,China (People’s Republic of),Male,2244,,D4,Immigrants - citizenship
2020,CHN,China (People’s Republic of),Female,2682,,D4,Immigrants - citizenship
2020,CHN,China (People’s Republic of),Total,4926,,D4,Immigrants - citizenship
2021,CHN,China (People’s Republic of),Male,2836,,D4,Immigrants - citizenship
2021,CHN,China (People’s Republic of),Female,3322,,D4,Immigrants - citizenship
2021,CHN,China (People’s Republic of),Total,6158,,D4,Immigrants - citizenship
2022,CHN,China (People’s Republic of),Male,3962,,D4,Immigrants - citizenship
2022,CHN,China (People’s Republic of),Female,4190,,D4,Immigrants - citizenship
2022,CHN,China (People’s Republic of),Total,8152,,D4,Immigrants - citizenship
2023,CHN,China (People’s Republic of),Male,3800,,D4,Immigrants - citizenship
2023,CHN,China (People’s Republic of),Female,4262,,D4,Immigrants - citizenship
2023,CHN,China (People’s Republic of),Total,8062,,D4,Immigrants - citizenship
2019,CHN,China (People’s Republic of),Male,90262,Long-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Male,69431,Short-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Male,159693,Total,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Female,90595,Long-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Female,67715,Short-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Female,158310,Total,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Total,180857,Long-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Total,137146,Short-term,D5,Type of residence permit and citizenship
2019,CHN,China (People’s Republic of),Total,318003,Total,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Male,89633,Long-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Male,59684,Short-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Male,149317,Total,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Female,91309,Long-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Female,60447,Short-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Female,151756,Total,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Total,180942,Long-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Total,120131,Short-term,D5,Type of residence permit and citizenship
2020,CHN,China (People’s Republic of),Total,301073,Total,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Male,90380,Long-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Male,48630,Short-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Male,139010,Total,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Female,92277,Long-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Female,48441,Short-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Female,140718,Total,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Total,182657,Long-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Total,97071,Short-term,D5,Type of residence permit and citizenship
2021,CHN,China (People’s Republic of),Total,279728,Total,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Male,92644,Long-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Male,52758,Short-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Male,145402,Total,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Female,96049,Long-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Female,49734,Short-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Female,145783,Total,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Total,188693,Long-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Total,102492,Short-term,D5,Type of residence permit and citizenship
2022,CHN,China (People’s Republic of),Total,291185,Total,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Male,90589,Long-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Male,50237,Short-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Male,140826,Total,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Female,94945,Long-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Female,48724,Short-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Female,143669,Total,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Total,185534,Long-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Total,98961,Short-term,D5,Type of residence permit and citizenship
2023,CHN,China (People’s Republic of),Total,284495,Total,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Male,90034,Long-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Male,41614,Short-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Male,131648,Total,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Female,94594,Long-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Female,40848,Short-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Female,135442,Total,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Total,184628,Long-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Total,82462,Short-term,D5,Type of residence permit and citizenship
2024,CHN,China (People’s Republic of),Total,267090,Total,D5,Type of residence permit and citizenship
2019,TWN,Chinese Taipei,Male,22,,D4,Immigrants - citizenship
2019,TWN,Chinese Taipei,Female,61,,D4,Immigrants - citizenship
2019,TWN,Chinese Taipei,Total,83,,D4,Immigrants - citizenship
2020,TWN,Chinese Taipei,Male,10,,D4,Immigrants - citizenship
2020,TWN,Chinese Taipei,Female,53,,D4,Immigrants - citizenship
2020,TWN,Chinese Taipei,Total,63,,D4,Immigrants - citizenship
2021,TWN,Chinese Taipei,Male,12,,D4,Immigrants - citizenship
2021,TWN,Chinese Taipei,Female,48,,D4,Immigrants - citizenship
2021,TWN,Chinese Taipei,Total,60,,D4,Immigrants - citizenship
2022,TWN,Chinese Taipei,Male,15,,D4,Immigrants - citizenship
2022,TWN,Chinese Taipei,Female,55,,D4,Immigrants - citizenship
2022,TWN,Chinese Taipei,Total,70,,D4,Immigrants - citizenship
2023,TWN,Chinese Taipei,Male,31,,D4,Immigrants - citizenship
2023,TWN,Chinese Taipei,Female,62,,D4,Immigrants - citizenship
2023,TWN,Chinese Taipei,Total,93,,D4,Immigrants - citizenship
2019,COL,Colombia,Male,671,,D4,Immigrants - citizenship
2019,COL,Colombia,Female,938,,D4,Immigrants - citizenship
2019,COL,Colombia,Total,1609,,D4,Immigrants - citizenship
2020,COL,Colombia,Male,615,,D4,Immigrants - citizenship
2020,COL,Colombia,Female,885,,D4,Immigrants - citizenship
2020,COL,Colombia,Total,1500,,D4,Immigrants - citizenship
2021,COL,Colombia,Male,775,,D4,Immigrants - citizenship
2021,COL,Colombia,Female,1097,,D4,Immigrants - citizenship
2021,COL,Colombia,Total,1872,,D4,Immigrants - citizenship
2022,COL,Colombia,Male,1116,,D4,Immigrants - citizenship
2022,COL,Colombia,Female,1496,,D4,Immigrants - citizenship
2022,COL,Colombia,Total,2612,,D4,Immigrants - citizenship
2023,COL,Colombia,Male,1628,,D4,Immigrants - citizenship
2023,COL,Colombia,Female,1931,,D4,Immigrants - citizenship
2023,COL,Colombia,Total,3559,,D4,Immigrants - citizenship
2019,COL,Colombia,Male,4111,Long-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Male,3134,Short-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Male,7245,Total,D5,Type of residence permit and citizenship
2019,COL,Colombia,Female,7320,Long-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Female,4086,Short-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Female,11406,Total,D5,Type of residence permit and citizenship
2019,COL,Colombia,Total,11431,Long-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Total,7220,Short-term,D5,Type of residence permit and citizenship
2019,COL,Colombia,Total,18651,Total,D5,Type of residence permit and citizenship
2020,COL,Colombia,Male,3897,Long-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Male,3440,Short-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Male,7337,Total,D5,Type of residence permit and citizenship
2020,COL,Colombia,Female,7199,Long-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Female,4569,Short-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Female,11768,Total,D5,Type of residence permit and citizenship
2020,COL,Colombia,Total,11096,Long-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Total,8009,Short-term,D5,Type of residence permit and citizenship
2020,COL,Colombia,Total,19105,Total,D5,Type of residence permit and citizenship
2021,COL,Colombia,Male,3667,Long-term,D5,Type of residence permit and citizenship
2021,COL,Colombia,Male,3212,Short-term,D5,Type of residence permit and citizenship
2021,COL,Colombia,Male,6879,Total,D5,Type of residence permit and citizenship
